STATE,TYPE,NWSC,NCO,RRK,RPP,FDP,EMP,FP,PICES,PSIESC,SD,SL,SSV,PF,SCORE,RANK
PUNJAB,Government,9,16,12,4,7,15,1,0,6,49,21,9,3,11.67,139
UTTAR PRADESH,Government,12,11,6,7,6,14,2,1,8,36,16,6,5,11.67,140
TAMIL NADU,Government,18,13,11,7,5,8,2,1,3,32,29,2,0,11.65,141
ODISHA,Government,9,7,8,6,6,8,0,0,3,46,45,9,2,11.65,142
CHHATTISGARH,Government,10,8,9,8,3,10,1,0,3,40,36,8,7,11.65,143
TAMIL NADU,Government,18,6,9,11,4,9,1,1,5,33,31,1,8,11.65,144
WEST BENGAL,Private,8,9,12,4,2,15,1,0,5,49,32,10,8,11.63,145
UTTAR PRADESH,Government,15,3,13,13,7,11,1,0,3,44,39,7,10,11.63,146
ODISHA,Government,18,8,16,12,8,12,0,0,8,16,6,2,10,11.62,147
TAMIL NADU,Government,4,6,4,7,3,4,0,0,6,31,16,8,9,11.6,148
TAMIL NADU,Government,21,7,16,11,4,9,2,0,5,32,27,5,10,11.6,149
GUJARAT,Private,10,10,3,11,4,8,2,1,4,44,44,9,7,11.59,150
TAMIL NADU,Government,8,8,9,9,8,11,2,0,2,49,39,10,7,11.59,151
UTTAR PRADESH,Government,11,6,3,8,4,8,0,0,3,39,10,8,1,11.59,152
MAHARASHTRA,Government,17,11,7,3,1,10,1,0,8,48,34,0,6,11.57,153
KARNATAKA,Government,9,5,8,6,3,8,1,1,4,43,36,3,2,11.57,154
KERALA,Private,18,12,6,13,6,7,1,1,7,41,38,10,6,11.57,155
TAMIL NADU,Private,13,14,14,10,2,12,1,0,8,37,10,4,10,11.57,156
UTTARAKHAND,Private,13,12,11,8,6,9,1,0,3,49,18,9,5,11.54,157
TAMIL NADU,Government,18,14,10,13,1,9,0,1,6,50,48,3,5,11.54,158
TAMIL NADU,Government,16,10,11,14,8,11,0,0,2,49,30,4,8,11.54,159
MAHARASHTRA,Government,20,12,16,8,7,7,1,0,3,47,16,5,8,11.52,160
UTTAR PRADESH,Government,17,9,11,7,4,3,1,0,4,36,29,2,3,11.52,161
UTTAR PRADESH,Private,14,4,10,7,4,4,2,1,6,44,24,7,4,11.51,162
MADHYA PRADESH,Government,8,9,13,6,5,5,1,1,4,41,34,1,9,11.51,163
TAMIL NADU,Government,13,10,7,5,5,7,2,1,1,48,38,10,0,11.51,164
MAHARASHTRA,Government,14,12,12,12,2,6,1,1,5,35,28,7,1,11.49,165
KERALA,Government,14,11,6,11,7,10,0,0,8,25,24,3,5,11.49,166
ANDHRA PRADESH,Government,21,7,15,8,1,5,1,1,2,49,19,1,9,11.49,167
TAMIL NADU,Private,12,12,10,9,1,10,1,0,5,46,34,10,9,11.49,168
MAHARASHTRA,Government,16,12,13,5,4,14,1,1,5,35,29,8,0,11.49,169
UTTAR PRADESH,Private,17,9,13,9,4,3,1,1,8,24,20,0,7,11.49,170
TAMIL NADU,Government,17,10,8,11,3,11,1,1,1,37,21,0,8,11.48,171
UTTAR PRADESH,Government,10,11,11,10,1,7,1,1,6,40,30,6,2,11.48,172
ASSAM,Government,14,6,12,11,4,11,0,0,5,47,27,9,4,11.46,173
UTTAR PRADESH,Private,18,7,9,13,3,7,1,0,1,37,10,9,7,11.46,174
UTTAR PRADESH,Private,18,10,3,9,4,7,1,0,2,29,14,6,9,11.46,175
TELANGANA,Government,5,8,8,6,2,7,1,0,7,47,45,9,7,11.44,176
ANDHRA PRADESH,Government,17,4,5,10,3,10,0,0,8,37,10,9,9,11.44,177
TAMIL NADU,Private,13,9,2,7,6,11,2,0,6,37,17,10,9,11.43,178
MAHARASHTRA,Government,13,8,7,9,8,8,0,0,1,35,23,6,8,11.38,179
KERALA,Government,10,9,12,7,4,10,0,1,7,38,36,3,1,11.38,180
TELANGANA,Government,9,10,8,9,8,6,0,0,8,39,35,1,5,11.35,181
UTTAR PRADESH,Government,8,11,10,9,6,6,1,1,5,17,17,10,2,11.35,182
TELANGANA,Private,16,8,8,9,5,10,0,0,8,36,24,2,8,11.35,183
JAMMU AND KASHMIR,Private,12,7,12,8,6,12,2,0,3,43,28,10,6,11.35,184
MADHYA PRADESH,Private,9,10,7,7,5,13,2,1,7,19,11,6,8,11.33,185
RAJASTHAN,Government,21,6,4,15,4,9,0,1,6,33,32,8,1,11.33,186
TAMIL NADU,Private,14,12,11,7,7,5,1,0,8,39,32,0,4,11.33,187
TELANGANA,Government,10,8,16,4,4,15,2,1,2,49,24,3,5,11.33,188
MAHARASHTRA,Private,11,6,14,7,6,4,0,0,1,42,29,1,7,11.32,189
TAMIL NADU,Private,19,9,7,10,7,3,0,0,4,50,6,5,0,11.32,190
KARNATAKA,Private,5,13,16,6,6,8,0,0,1,50,36,6,5,11.3,191
KERALA,Private,17,9,11,8,1,7,1,1,5,43,10,3,1,11.3,192
ODISHA,Government,11,6,12,13,1,2,1,1,4,36,30,10,9,11.3,193
TAMIL NADU,Government,17,6,9,5,4,9,1,1,8,38,14,6,8,11.29,194
MAHARASHTRA,Government,15,5,9,13,8,10,1,1,6,39,24,6,3,11.29,195
TAMIL NADU,Government,18,10,12,10,1,8,0,1,2,22,18,8,10,11.27,196
ARUNACHAL PRADESH,Government,14,9,8,7,5,13,0,1,2,44,41,5,2,11.27,197
TAMIL NADU,Private,13,7,12,8,6,9,1,0,7,44,31,4,4,11.27,198
UTTAR PRADESH,Government,10,5,11,7,8,4,0,1,5,24,19,2,7,11.27,199
GUJARAT,Government,18,3,10,7,8,10,1,0,3,16,7,6,0,11.25,200
TAMIL NADU,Private,14,6,7,9,1,4,0,0,7,47,43,10,6,11.25,201
TAMIL NADU,Government,14,9,8,11,6,7,2,1,4,26,19,6,6,11.24,202
UTTAR PRADESH,Government,9,3,8,6,6,15,1,0,6,35,34,7,5,11.24,203
KERALA,Government,9,15,9,7,4,8,1,1,6,31,13,1,4,11.24,204
ANDHRA PRADESH,Government,12,9,3,7,3,10,0,0,5,33,27,9,2,11.22,205
CHHATTISGARH,Government,21,13,12,4,6,8,2,1,6,31,24,4,3,11.22,206
KERALA,Government,15,6,7,8,8,14,1,0,4,23,22,6,3,11.22,207
RAJASTHAN,Private,18,10,10,14,8,8,1,0,1,41,16,5,8,11.22,208
UTTAR PRADESH,Government,11,7,11,9,1,15,1,0,4,43,35,5,10,11.22,209
WEST BENGAL,Government,19,8,14,11,6,9,1,1,6,26,1,1,9,11.21,210
RAJASTHAN,Government,8,6,6,12,6,15,2,1,4,48,22,4,2,11.21,211
MAHARASHTRA,Government,16,16,4,7,5,12,0,0,1,29,27,7,5,11.19,212
KARNATAKA,Government,12,14,15,7,3,6,2,1,6,37,33,1,7,11.19,213
TAMIL NADU,Government,19,8,12,10,7,10,1,1,4,49,24,5,10,11.19,214
UTTAR PRADESH,Government,14,9,9,10,4,12,0,1,6,35,24,6,3,11.17,215
MADHYA PRADESH,Government,12,3,8,7,6,7,1,1,5,36,23,10,3,11.17,216
WEST BENGAL,Private,14,9,16,14,3,9,1,0,1,36,29,2,1,11.17,217
MAHARASHTRA,Private,11,9,11,5,6,14,0,1,1,22,21,9,0,11.16,218
MAHARASHTRA,Government,8,4,7,10,7,7,2,0,7,50,17,8,6,11.16,219
UTTAR PRADESH,Government,17,10,3,11,3,9,0,0,2,24,22,7,9,11.14,220
TAMIL NADU,Government,10,9,8,4,8,11,0,1,7,38,29,4,9,11.14,221
CHHATTISGARH,Government,7,6,10,9,4,9,2,1,6,42,37,6,5,11.14,222
TAMIL NADU,Government,6,9,9,8,1,10,1,0,7,31,28,5,10,11.14,223
MAHARASHTRA,Government,16,11,7,10,2,13,1,1,6,36,16,6,2,11.14,224
KARNATAKA,Government,18,15,7,6,2,10,1,1,3,21,18,1,7,11.13,225
UTTARAKHAND,Government,9,9,10,8,4,6,1,0,5,49,23,0,6,11.13,226
UTTAR PRADESH,Government,18,10,7,11,5,5,1,1,2,44,9,4,9,11.13,227
MAHARASHTRA,Government,16,9,9,4,8,13,0,1,6,30,26,4,9,11.11,228
MAHARASHTRA,Government,17,15,5,7,5,12,1,1,8,49,46,4,4,11.11,229
MADHYA PRADESH,Government,10,10,14,10,8,9,1,0,6,23,19,9,7,11.11,230
DELHI,Government,5,11,13,13,8,14,1,1,1,40,19,3,10,11.1,231
ODISHA,Government,11,14,4,4,1,7,1,0,7,38,31,2,8,11.08,232
KARNATAKA,Government,20,5,10,13,2,10,0,1,3,50,2,8,10,11.06,233
MADHYA PRADESH,Private,13,11,11,4,5,14,2,1,6,23,1,4,6,11.06,234
UTTAR PRADESH,Government,16,7,10,9,3,7,1,0,5,34,23,8,6,11.05,235
TAMIL NADU,Government,14,2,11,13,8,7,2,1,4,47,20,3,4,11.05,236
MAHARASHTRA,Government,11,11,16,5,4,13,0,0,6,15,5,10,4,11.05,237
TAMIL NADU,Government,12,9,5,10,6,10,1,1,7,26,1,7,8,11.05,238
JHARKHAND,Government,9,8,7,10,1,13,2,1,8,45,23,0,5,11.05,239
RAJASTHAN,Government,19,15,10,9,2,9,2,0,4,41,33,0,2,11.05,240
ANDHRA PRADESH,Private,16,11,9,6,8,15,1,0,8,44,13,7,10,11.05,241
MAHARASHTRA,Government,15,11,6,10,5,3,1,1,6,29,28,5,0,11.02,242
UTTAR PRADESH,Government,11,9,8,9,8,5,1,0,2,42,13,7,7,11.02,243
MADHYA PRADESH,Private,14,12,11,12,6,9,1,1,6,48,44,6,4,11.02,244
UTTAR PRADESH,Government,15,10,11,9,3,9,1,0,1,42,24,4,1,11.02,245
TAMIL NADU,Government,13,7,5,6,3,14,0,0,1,37,29,0,5,11.0,246
TAMIL NADU,Government,14,12,10,8,2,12,1,1,4,45,16,6,1,10.98,247
KARNATAKA,Private,16,2,11,12,2,13,1,1,2,24,22,9,6,10.98,248
UTTAR PRADESH,Government,10,5,3,9,4,9,1,1,4,33,21,8,4,10.98,249
MAHARASHTRA,Private,12,7,11,8,4,9,0,0,8,23,7,4,8,10.97,250
TAMIL NADU,Government,17,4,8,12,5,5,2,0,2,48,24,9,4,10.95,251
MAHARASHTRA,Private,10,8,7,2,2,8,2,0,6,25,19,6,0,10.94,252
ODISHA,Government,9,8,10,3,1,11,2,1,6,46,39,8,7,10.94,253
TELANGANA,Private,19,11,13,14,4,12,1,1,8,34,21,4,5,10.94,254
GUJARAT,Government,15,8,3,10,3,9,1,1,4,29,12,8,2,10.94,255
TAMIL NADU,Private,7,7,16,6,4,15,0,1,3,47,41,10,3,10.94,256
UTTAR PRADESH,Government,6,13,7,8,8,9,2,1,1,38,27,5,7,10.92,257
TAMIL NADU,Government,18,10,13,13,6,10,1,1,2,48,25,3,4,10.92,258
ANDHRA PRADESH,Private,7,9,6,9,4,9,1,0,1,26,24,7,1,10.9,259
MAHARASHTRA,Government,13,8,6,15,4,6,2,0,2,40,24,4,1,10.9,260
KERALA,Private,10,12,6,11,3,9,1,0,5,48,10,10,1,10.9,261
TELANGANA,Private,17,11,8,6,3,11,0,0,3,22,20,10,2,10.89,262
RAJASTHAN,Government,11,9,6,4,6,9,1,1,5,28,25,8,4,10.89,263
MAHARASHTRA,Private,14,5,8,2,1,11,1,1,8,32,7,7,6,10.89,264
UTTAR PRADESH,Government,16,6,11,10,4,4,1,1,7,31,14,0,6,10.89,265
PUNJAB,Private,12,5,8,8,8,8,0,0,8,35,23,6,2,10.87,266
MAHARASHTRA,Government,13,6,15,10,8,8,2,1,7,49,8,8,3,10.87,267
UTTAR PRADESH,Private,13,8,9,8,7,6,2,1,5,26,12,10,4,10.87,268
MAHARASHTRA,Private,18,4,6,9,7,5,2,1,5,28,21,6,9,10.87,269
KERALA,Government,16,13,7,9,2,11,2,1,6,44,23,10,6,10.87,270
MAHARASHTRA,Government,17,15,8,6,4,8,0,0,8,47,10,3,7,10.86,271
TAMIL NADU,Government,17,11,10,11,7,10,1,1,3,6,0,9,9,10.86,272
TAMIL NADU,Government,10,7,8,10,4,4,2,0,1,49,30,8,4,10.86,273
CHHATTISGARH,Private,12,3,10,9,5,9,2,1,7,45,21,0,2,10.84,274
MAHARASHTRA,Government,13,7,8,4,3,9,1,1,6,43,8,0,10,10.84,275
KERALA,Private,21,10,10,4,8,12,1,0,7,40,28,10,7,10.84,276
TAMIL NADU,Government,6,13,6,10,7,2,1,0,1,41,24,10,10,10.84,277
RAJASTHAN,Government,16,9,12,14,2,13,1,1,1,40,22,7,0,10.83,278
MAHARASHTRA,Government,10,9,9,5,6,9,1,1,2,40,4,5,10,10.83,279
MAHARASHTRA,Government,7,8,7,7,1,13,0,0,5,29,23,10,10,10.83,280
TELANGANA,Government,17,7,10,12,8,7,2,0,1,42,21,0,6,10.81,281
KERALA,Government,9,7,11,11,2,12,0,1,6,50,27,3,4,10.81,282
MAHARASHTRA,Government,10,11,6,6,3,10,1,0,1,47,45,2,10,10.81,283
MADHYA PRADESH,Private,4,12,8,8,7,9,1,0,5,48,19,1,6,10.81,284
TAMIL NADU,Government,12,4,3,9,5,5,1,0,3,27,10,2,9,10.79,285
MAHARASHTRA,Government,21,8,9,10,3,6,2,1,7,19,6,9,3,10.79,286
TAMIL NADU,Government,11,16,15,8,8,5,0,1,3,46,19,5,4,10.79,287
TAMIL NADU,Government,13,14,5,9,2,2,2,0,6,35,11,9,0,10.79,288
TAMIL NADU,Private,20,5,3,5,6,8,1,0,5,50,21,5,5,10.79,289
MAHARASHTRA,Government,11,3,4,9,5,10,1,0,5,34,23,9,9,10.78,290
KARNATAKA,Government,10,5,8,10,4,12,0,1,4,30,18,7,7,10.78,291
MAHARASHTRA,Government,13,6,6,9,8,11,1,0,5,46,31,0,6,10.76,292
GUJARAT,Government,13,14,9,9,2,9,1,1,8,45,38,4,6,10.76,293
TAMIL NADU,Government,12,10,9,8,1,9,1,0,7,23,11,9,0,10.75,294
KARNATAKA,Private,8,7,7,10,6,12,2,0,8,21,11,6,9,10.75,295
KARNATAKA,Private,14,8,7,4,7,10,1,1,5,15,13,9,5,10.75,296
ANDHRA PRADESH,Government,15,6,5,11,5,8,2,1,7,34,28,6,5,10.71,297
GUJARAT,Private,6,6,12,11,7,10,1,1,5,35,10,7,2,10.71,298
ANDHRA PRADESH,Government,12,10,8,8,1,13,1,1,6,49,33,0,1,10.71,299
WEST BENGAL,Private,12,4,10,9,6,9,2,0,3,20,20,8,10,10.7,300
MADHYA PRADESH,Private,16,5,10,10,2,9,0,1,2,39,14,4,8,10.7,301
GUJARAT,Private,8,5,11,9,8,11,2,0,6,21,14,10,6,10.7,302
UTTAR PRADESH,Government,10,13,6,13,8,12,0,0,8,42,35,9,8,10.7,303
TAMIL NADU,Government,11,7,10,2,5,15,0,1,6,36,29,5,2,10.68,304
UTTAR PRADESH,Government,18,7,6,10,3,7,1,1,2,19,10,1,9,10.68,305
CHHATTISGARH,Private,16,8,6,7,1,11,2,0,3,38,27,9,4,10.67,306
KERALA,Government,12,11,7,14,6,10,1,0,2,24,18,8,3,10.65,307
UTTARAKHAND,Government,15,9,2,11,1,3,2,0,1,21,19,6,10,10.65,308
UTTARAKHAND,Private,14,11,12,4,5,10,1,1,6,36,18,6,5,10.65,309
MAHARASHTRA,Government,10,8,10,3,4,13,1,0,6,24,16,8,2,10.63,310
MAHARASHTRA,Private,14,5,8,15,1,9,0,0,4,14,2,5,10,10.63,311
UTTAR PRADESH,Government,11,13,14,10,7,11,0,1,5,45,20,2,6,10.63,312
MAHARASHTRA,Government,14,7,8,10,6,14,1,1,5,25,23,5,6,10.63,313
